0,1,2,3,4,5
11020CHEM103002,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",55,3.38,0.34
11020CHEM104001,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",56,3.68,0.43
11020CHEM104002,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",54,3.27,0.35
11020CHEM104003,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",38,3.61,0.72
11020CHEM104004,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",34,3.6,0.57
11020CHEM104005,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",66,3.88,0.27
11020CHEM104006,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",60,3.63,0.29
11020CHEM104007,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",58,3.81,0.21
11020CHEM104008,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",52,3.26,0.45
11020CHEM104009,普通化學實驗二General Chemistry Laboratory (II),"廖翊雅LIAO, YI-YA",47,3.35,0.46
11020CHEM222001,有機化學二Organic Chemistry (II),"陳建添CHEN, CHIEN-TIEN",92,3.19,1.29
11020CHEM222002,有機化學二Organic Chemistry (II),"王聖凱WANG, SHENG-KAI",166,2.51,1.32
11020CHEM224001,有機化學實驗二Organic Chemistry Laboratory (II),"林芳齡LIN,FANG-LING",34,3.96,0.24
11020CHEM224002,有機化學實驗二Organic Chemistry Laboratory (II),"林芳齡LIN,FANG-LING",36,3.87,0.41
11020CHEM224003,有機化學實驗二Organic Chemistry Laboratory (II),"林芳齡LIN,FANG-LING",36,3.91,0.18
11020CHEM224004,有機化學實驗二Organic Chemistry Laboratory (II),"林芳齡LIN,FANG-LING",25,3.78,0.38
11020CHEM242000,物理化學二Physical Chemistry (II),"游靜惠YU, CHIN-HUI",76,2.02,1
11020CHEM244001,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",31,3.57,0.42
11020CHEM244002,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",30,3.78,0.39
11020CHEM244003,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",30,3.82,0.25
11020CHEM244004,物理化學實驗一Physical Chemistry Laboratory (I),"莊晴如CHUANG, CHING-JU",32,3.74,0.32
11020CHEM292000,化學數學Mathematics for Chemistry,"江昀緯CHIANG, YUN-WEI",37,2.31,1.74
11020CHEM312000,分析化學二Analytical Chemistry (II),"帕偉鄂本URBAN, PAWEL LUKASZ",75,3.17,1.37
11020CHEM314001,分析化學實驗二Analytical Chemistry Laboratory (II),"廖英孝LIAO, YING-HSIAO",32,3.88,0.41
11020CHEM314002,分析化學實驗二Analytical Chemistry Laboratory (II),"廖英孝LIAO, YING-HSIAO",32,4.01,0.23
11020CHEM326000,光譜分析Spectroscopic Analysis,"胡紀如HWU, JIH-RU",26,3.93,0.23
11020CHEM328000,當代化學論壇Contemporary  Research in Chemistry,"黃郁文HUANG, YU-WEN",33,3.84,0.89
11020CHEM329001,光譜分析實驗Spectroscopic Analysis Laboratory,"胡紀如HWU, JIH-RU",21,3.86,0.35
11020CHEM332000,無機化學二Inorganic Chemistry (II),"蔡易州TSAI, YI-CHOU",83,1.96,1.48
11020CHEM463000,書報討論二(有機無機組)Seminar-Organic and Inorganic Divisions (II),黃暄益HUANG MICHAEL HSUAN-YI,35,3.88,0.7
11020CHEM464000,書報討論二(物化分析組)Seminar-Physical and Analytical Chemistry (II),"帕偉鄂本URBAN, PAWEL LUKASZ",13,4.28,0.08
11020CHEM481000,專題研究二Undergraduate Research (II),指導教授,24,4.09,0.52
11020CHEM500500,教學實習二Teaching Internship (II),指導教授,99,4.28,0.09
11020CHEM501500,同步輻射應用Applications of Synchrotron Radiation,"李耀昌LEE, YAO-CHANG",29,3.78,0.43
11020CHEM504500,蛋白質結構與化學Protein Structure and Chemistry,"洪嘉呈HORNG, JIA-CHERNG",21,3.66,0.53
11020CHEM504600,電化學導論及應用Electrochemistry Fundamentals and Applications,"王育恒WANG, YU-HENG",7,3.84,0.49
11020CHEM506000,生物無機化學Bioinorganic Chemistry,"廖文峯LIAW, WEN-FENG",22,3.48,0.75
11020CHEM507500,高等生物化學Advanced Biochemistry,"余靖YU, CHIN",14,4.04,0.38
11020CHEM509500,分子光化學Molecular Photochemistry,"陳益佳CHEN, I-CHIA",14,4.24,0.12
11020CHEM530500,新穎高分子化學合成Chemistry in Modern Polymer Synthesis,"彭之皓PENG, CHI-HOW",18,4.1,0.2
11020CHEM531500,電化學實驗Electrochemistry Laboratory,"王育恒WANG, YU-HENG",4,3.7,0
11020CHEM534000,固態化學Solid State Chemistry,黃暄益HUANG MICHAEL HSUAN-YI,19,3.66,0.52
11020CHEM534500,科學計算Scientific Computing,"周佳駿CHOU, CHIA-CHUN",37,3.98,0.84
11020CHEM542000,雷射化學及光譜Laser Chemistry and Spectroscopy,"鄭博元CHENG, PO-YUAN",16,3.79,0.19
11020CHEM550000,觸媒化學Heterogeneous Catalysis,"楊家銘YANG, CHIA-MIN",12,3.74,0.5
11020CHEM551000,應用化學特論Special Topics in Applied Chemistry,"彭之皓PENG, CHI-HOW",97,3.93,0.27
11020CHEM553500,研究專題討論二Seminar II,指導教授,100,4.2,0.15
11020CHEM562000,書報討論(有機組)Seminar - Organic Division,"王聖凱WANG, SHENG-KAI",26,3.98,0.33
11020CHEM564000,書報討論(物化組)Seminar - Physical Chemistry Division,"鄭博元CHENG, PO-YUAN",22,4.1,0.21
11020CHEM566000,書報討論(無機組)Seminar - Inorganic,"彭之皓PENG, CHI-HOW",39,4.06,0.19
11020CHEM568000,書報討論(分析組)Seminar - Analytical Chemistry Division,"帕偉鄂本URBAN, PAWEL LUKASZ",11,4.3,0
11020CHEM570000,專題演講Colloquium,"江昀緯CHIANG, YUN-WEI",133,4.13,0.26
11020CHEM578500,同相催化Homogeneous Catalysis,"劉瑞雄LIU, JUI-HSIUNG",28,3.78,0.84
11020CHEM592000,有機半導體導論Introduction to Organic Semiconductors,"吳典霖WU, TIEN-LIN",26,3.69,0.62
11020CHEM598000,化學生物二Chemical Biology,"林俊成LIN, CHUN-CHENG王聖凱WANG, SHENG-KAI",10,3.98,0.41
11020CHEM620000,化學教學實習Teaching Practice,指導教授,7,4.3,0
11020CHEM624000,有機合成二Organic Synthesis (II),"黃郁文HUANG, YU-WEN",22,3.69,0.91
11020CHEM651000,研究專題討論二Seminar II,指導教授,18,3.93,0.96
11020CHEM662000,書報討論(有機組)Seminar - Organic Division,"王聖凱WANG, SHENG-KAI",6,4.2,0.14
