0,1,2,3,4,5
11010CHEM501300,藥物化學Pharmaceutical Chemistry,"謝興邦HSIEH, HSING-PANG",29,3.9,0.45
11010CHEM508500,雷射光電化學實驗Laser Chemistry Laboratory,"陳益佳CHEN, I-CHIA",15,4,0
11010CHEM512000,生醫分析Biomedical Analysis,"陳貴通TAN, KUI THONG",17,3.68,0.51
11010CHEM527000,有機光譜學Spectroscopic Methods for Organic Analysis,"黃郁文HUANG, YU-WEN",38,3.78,0.75
11010CHEM538500,光化學導論及應用Photochemistry: Fundamentals to Applications,"王育恒WANG, YU-HENG",6,3.53,1.58
11010CHEM541000,Ｘ光繞射及晶體結構分析X-ray Diffraction & Crystal Structure Analysis,"王素蘭WANG, SUE-LEIN",54,3.73,0.49
11010CHEM543000,材料化學分析技術Analytical techniques for Materials Chemistry,"楊家銘YANG, CHIA-MIN",27,3.61,0.65
11010CHEM545000,量子化學Quantum Chemistry,"周佳駿CHOU, CHIA-CHUN",64,3.72,0.65
11010CHEM553400,研究專題討論一Seminar I,指導教授,99,4.16,0.16
11010CHEM554500,光電材料量測技術Measurement techniques for Optoelectronic Materials,"吳典霖WU, TIEN-LIN",14,4.23,0.26
11010CHEM561000,書報討論(有機組)Seminar - Organic Division,"胡紀如HWU, JIH-RU",22,4.1,0.21
11010CHEM563000,書報討論(物化組)Seminar - Physical Chemistry Division,"朱立岡CHU, LI-KANG",23,3.79,0.48
11010CHEM565000,書報討論(無機組)Seminar - Inorganic,"劉瑞雄LIU, JUI-HSIUNG",42,4.22,0.16
11010CHEM567000,書報討論(分析組)Seminar - Analytical Chemistry Division,"陳貴通TAN, KUI THONG",11,3.66,0.4
11010CHEM570000,專題演講Colloquium,"江昀緯CHIANG, YUN-WEI",150,4.05,0.56
11010CHEM576000,化學動力學Chemical Kinetics,"朱立岡CHU, LI-KANG",19,4.02,0.45
11010CHEM580000,質譜分析Analytical Mass Spectrometry,"帕偉鄂本URBAN, PAWEL LUKASZ",17,4.11,0.42
11010CHEM586000,金屬有機合成Metal Organic Chemistry,"劉瑞雄LIU, JUI-HSIUNG",38,3.52,0.73
11010CHEM598000,化學生物Chemical Biology,"王聖凱WANG, SHENG-KAI",24,3.75,0.92
11010CHEM600000,化學教學實習Teaching Practice,指導教授,8,4.1,0.33
11010CHEM621000,物理有機化學Physical Organic Chemistry,林民生HAYASHI TAMIO,19,3.06,0.78
11010CHEM622000,有機反應機構 (研)Organic Reaction Mechanism,"胡紀如HWU, JIH-RU",7,3.86,0.25
11010CHEM623000,有機合成一Organic Synthesis (I),"陳建添CHEN, CHIEN-TIEN黃郁文HUANG, YU-WEN",31,3.64,0.76
11010CHEM650000,研究專題討論一Seminar I,指導教授,25,4.03,0.35
11010CHEM661000,書報討論(有機組)Seminar - Organic Division,"胡紀如HWU, JIH-RU",3,4.1,0.14
11010CHEM665000,書報討論(無機組)Seminar - Inorganic,"劉瑞雄LIU, JUI-HSIUNG",11,4.08,0.18
11010CHEM667000,書報討論(分析組)Seminar - Analytical Chemistry Division,"陳貴通TAN, KUI THONG",2,4.15,0.15
11010CHEM669000,書報討論(物化組)Seminar - Physical Chemistry Division,"朱立岡CHU, LI-KANG",2,4.15,0.15
11010CL  101001,大學中文College Chinese,"李慈恩LEE, TZU-EN",24,3.63,0.41
11010CL  101002,大學中文College Chinese,"黃鈴棋HUANG, LING-CHI",24,4,0.09
11010CL  101003,大學中文College Chinese,"潘芊樺PAN, CHIEN-HUA",25,3.78,0.82
11010CL  101004,大學中文College Chinese,"劉璟翰LIU, CHING-HAN",21,3.98,0.29
11010CL  101005,大學中文College Chinese,"王秋今WANG, CHIU-CHIN",25,3.9,0.41
11010CL  101006,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",25,3.72,0.7
11010CL  101010,大學中文College Chinese,"謝明憲HSIEH, MING-HSIEN",25,3.74,0.42
11010CL  101011,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",23,3.9,0.17
11010CL  101012,大學中文College Chinese,"江曉輝KONH, HIU-FAI",24,3.81,0.31
11010CL  101013,大學中文College Chinese,"黃鈴棋HUANG, LING-CHI",25,3.86,0.42
11010CL  101014,大學中文College Chinese,"潘芊樺PAN, CHIEN-HUA",25,3.92,0.31
11010CL  101015,大學中文College Chinese,"孫立梅SUN, LI-MEI",25,4.07,0.23
11010CL  101016,大學中文College Chinese,"王秋今WANG, CHIU-CHIN",24,4.01,0.25
11010CL  101017,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",25,3.95,0.21
11010CL  101018,大學中文College Chinese,"朱芯儀CHU, HSIN-I",20,3.87,0.36
11010CL  101021,大學中文College Chinese,"江曉輝KONH, HIU-FAI",24,3.79,0.14
11010CL  101022,大學中文College Chinese,"朱芯儀CHU, HSIN-I",23,3.95,0.17
11010CL  101023,大學中文College Chinese,"呂柏勳LU, BO-HSUEN",25,3.97,0.55
11010CL  101024,大學中文College Chinese,"李東龍LI,TUNG-LUNG",24,3.81,0.46
11010CL  101025,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",24,3.96,0.23
11010CL  101029,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",24,3.64,1.09
11010CL  101030,大學中文College Chinese,"李威寰LI, WEI-HUAN",25,4.03,0.35
11010CL  101031,大學中文College Chinese,"朱芯儀CHU, HSIN-I",24,4,0.15
11010CL  101032,大學中文College Chinese,"呂柏勳LU, BO-HSUEN",25,3.92,0.41
11010CL  101033,大學中文College Chinese,"劉思妤LIU, SZU-YU",26,3.96,0.24
11010CL  101034,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",25,4.04,0.45
11010CL  101038,大學中文College Chinese,"方俠文FANG, SHIA-WEN",25,3.61,0.79
11010CL  101039,大學中文College Chinese,"李威寰LI, WEI-HUAN",24,4.14,0.47
