course_ID_full_orig,course_ID,course_num,department,course_title_zh,course_title_eng,credit_unit,limit,new_only,gen_cat,language,room_and_time_orig,time,building,instructor,memo,prerequisite,limitation,speciality,program,extra_enrollment,required_or_elective
11110PE  111042,PE 111042,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"王俊盛	WANG, CHUN-SHENG",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限心諮系大學部1年級,--,--,O 接受 Allowed,心諮系111B必修
11110PE  111043,PE 111043,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"林家傑	LIN, CHIA-CHIEH",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限藝術學院學士班大學部1年級,--,--,O 接受 Allowed,藝術學院學士班111B必修
11110PE  111044,PE 111044,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"余成煌	YU, CHEN-HUANG",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限藝設系大學部1年級清班,--,--,O 接受 Allowed,藝設系111BA必修
11110PE  111045,PE 111045,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,聘任中	,集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限藝設系大學部1年級華班,--,--,O 接受 Allowed,藝設系111BB必修
11110PE  111046,PE 111046,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"王俊盛	WANG, CHUN-SHENG","集合地點email通知,擇期補課。重大或特殊傷病者請主動說明",--,限音樂系大學部1年級,--,--,O 接受 Allowed,音樂系111B必修
11110PE  205001,PE 205001,PE2050,PE   體育室,核心肌力,Core Strength,0,36,0,--,中文 ZH,"alum Gym校友PE館	M1M2
",M1M2,alum Gym校友PE館,"李柏均	LEE, PO-CHUN",須著乾淨室內運動鞋。患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205002,PE 205002,PE2050,PE   體育室,桌球初學,Ping pong(basic),0,36,0,--,中文 ZH,"Old Gym桌球場	M1M2
",M1M2,Old Gym桌球場,"鄭兆光	ZHENG, ZHAO-GUANG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205003,PE 205003,PE2050,PE   體育室,游泳初學,Swimming(basic),0,36,0,--,中文 ZH,"SWIM Pl.游泳池	M1M2
",M1M2,SWIM Pl.游泳池,"徐志翔	HSU, CHIH-HSIANG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205004,PE 205004,PE2050,PE   體育室,游泳初學,Swimming(basic),0,36,0,--,中文 ZH,"SWIM Pl.游泳池	M3M4
",M3M4,SWIM Pl.游泳池,"李大麟	LEE, TA-LIN",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205005,PE 205005,PE2050,PE   體育室,核心肌力,Core Strength,0,36,0,--,中文 ZH,"alum Gym校友PE館	M3M4
",M3M4,alum Gym校友PE館,"李柏均	LEE, PO-CHUN",須著乾淨室內運動鞋。患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
11110PE  205006,PE 205006,PE2050,PE   體育室,桌球初學,Ping pong(basic),0,36,0,--,中文 ZH,"Old Gym桌球場	M3M4
",M3M4,Old Gym桌球場,"鄭兆光	ZHENG, ZHAO-GUANG",患有重大傷病或特殊病史之同學，請主動向授課老師說明以提供協助。,--,--,--,--,O 接受 Allowed,--
