0,1,2,3,4,5
10920CL  102003,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",24,3.92,0.25
10920CL  102004,大學中文College Chinese,"王秋今WANG, CHIU-CHIN",24,4.14,0.21
10920CL  102005,大學中文College Chinese,"謝明憲HSIEH, MING-HSIEN",20,3.6,0.69
10920CL  102006,大學中文College Chinese,"李威寰LI, WEI-HUAN",21,3.85,0.34
10920CL  102007,大學中文College Chinese,"林宣佑LIN, HSUAN-YU",24,4.01,0.28
10920CL  102008,大學中文College Chinese,"王秋今WANG, CHIU-CHIN",24,3.94,0.81
10920CL  102009,大學中文College Chinese,"余能城YU, NENG-CHENG",24,3.42,0.68
10920CL  102011,大學中文College Chinese,"方俠文FANG, SHIA-WEN",25,3.65,0.79
10920CL  102012,大學中文College Chinese,"李威寰LI, WEI-HUAN",25,4.05,0.43
10920CL  102013,大學中文College Chinese,"林家妃LIN, CHIA-FEI",25,3.95,0.46
10920CL  102014,大學中文College Chinese,"陳貴弘CHEN, KUEI-HUNG",23,3.57,0.88
10920CL  102015,大學中文College Chinese,"劉思妤LIU, SZU-YU",24,4.11,0.21
10920CL  102017,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",24,3.31,1.31
10920CL  102018,大學中文College Chinese,"林宣佑LIN, HSUAN-YU",24,3.86,0.53
10920CL  102019,大學中文College Chinese,"余能城YU, NENG-CHENG",25,3.48,0.37
10920CL  102020,大學中文College Chinese,"劉思妤LIU, SZU-YU",25,4.02,0.65
10920CL  102021,大學中文College Chinese,"潘芊樺PAN, CHIEN-HUA",22,3.94,0.3
10920CL  102022,大學中文College Chinese,"李瑞竹LEE, JUI-CHU",22,3.55,1.3
10920CL  102023,大學中文College Chinese,"陳貴弘CHEN, KUEI-HUNG",8,3.91,0.31
10920CL  102024,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",25,3.82,0.35
10920CL  102025,大學中文College Chinese,"江曉輝KONH, HIU-FAI",11,3.39,1.2
10920CL  102026,大學中文College Chinese,"王達甫WANG, DA-FU",19,3.38,1.02
10920CL  102027,大學中文College Chinese,"潘芊樺PAN, CHIEN-HUA",25,3.97,0.29
10920CL  102029,大學中文College Chinese,"劉盈成LIU, YIN-GHENG",25,3.94,0.24
10920CL  102030,大學中文College Chinese,"江曉輝KONH, HIU-FAI",25,4.06,0.24
10920CL  102031,大學中文College Chinese,"王達甫WANG, DA-FU",20,3.4,1.06
10920CL  102035,大學中文College Chinese,"蔡幸娟TSAI, HSING-CHUAN",23,3.44,1.15
10920CL  102036,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",25,3.75,0.51
10920CL  102037,大學中文College Chinese,"劉龢靚LIU, HO-CHING",25,4.09,0.22
10920CL  102038,大學中文College Chinese,"黃鈴棋HUANG, LING-CHI",25,3.98,0.15
10920CL  102039,大學中文College Chinese,葉人豪YEH，JEN-HAO,23,4.16,0.15
10920CL  102040,大學中文College Chinese,"謝憶凡HSIEH, I-FAN",20,3.91,0.92
10920CL  102042,大學中文College Chinese,"方俠文FANG, SHIA-WEN",17,3.2,1.3
10920CL  102043,大學中文College Chinese,"許漢祥HSU, HAN-HSIANG",25,3.72,1.13
10920CL  102044,大學中文College Chinese,"劉龢靚LIU, HO-CHING",25,4.23,0.13
10920CL  102045,大學中文College Chinese,葉人豪YEH，JEN-HAO,23,3.93,1.07
10920CL  102046,大學中文College Chinese,"謝憶凡HSIEH, I-FAN",25,3.49,1.16
10920CL  110400,詩選Selected Readings from Chinese Poetry,"李欣錫LEE, HSIN-HSI",55,3.84,0.28
10920CL  110801,基礎寫作二Basic Writing (II),"羅漪文LO, YI-WEN",19,3.5,0.87
10920CL  110802,基礎寫作二Basic Writing (II),"沈婉霖SHEN, WAN-LIN",19,3.97,0.34
10920CL  110803,基礎寫作二Basic Writing (II),"蔡幸娟TSAI, HSING-CHUAN",16,3.72,1.06
10920CL  111200,語言學導論General Linguistics,陳淑芬Shu-Fen Chen,51,3.54,0.7
10920CL  111400,漢魏六朝文The Selected Reading of articles in Six Dynasties,"朱曉海CHU, HSIAO-HAI",22,2.1,1.3
10920CL  162900,紅樓夢Dream of the Red Chamber,"羅漪文LO, YI-WEN",24,3.71,0.36
10920CL  210300,詞選Selected Readings from Ci Poetry,"陳建男CHEN, CHIEN-NAN",39,4.04,0.62
10920CL  210600,子學名著選讀Sel. Read. in Class. Chin. Philosophy,"鍋島亞朱華NABESHIMA,ASUKA",39,3.87,0.82
10920CL  210801,聲韻學Chinese  Phonology,"邴尚白BIING, SHANG-BAIR",52,3.73,1.12
10920CL  221700,杜詩Poetry of Du Fu,陳國球 Chan Kwok Kou Leonard,6,4.03,0.35
10920CL  251500,大學中文寫作：類型小說閱讀與寫作College Chinese Writing: Genre Fiction,"金儒農CHIN, JU-NON",9,3.44,1.25
10920CL  251600,大學中文寫作：編採寫作College Chinese Writing:  Journalistic Interview and Writing,"李康莉LEE, KUNG-LI",11,3.91,0.28
10920CL  280800,華語口語與表達Oral Performance in Chinese,"吳貞慧WU, CHEN-HUEI",10,3.89,0.77
10920CL  290000,深入閱讀與高階寫作Advanced Reading and Writing,"王萬儀WANG, WAN-YI",13,4.28,0.08
10920CL  292000,基礎影像敘事Fundamental Storytelling Strategies,"游惠貞YU, HUI-CHEN",11,3.7,0.88
10920CL  310200,中國文學史二History of Chinese Literature (II),"李欣錫LEE, HSIN-HSI",61,3.97,0.29
10920CL  330000,史記Shi-Ji,"林聰舜LIN, TSUNG-SHUN",34,3.91,0.45
10920CL  330500,楚辭Chu Ci,"邴尚白BIING, SHANG-BAIR",33,4.12,0.32
10920CL  330900,莊子Chuang Tzu,"林聰舜LIN, TSUNG-SHUN",32,3.87,0.35
10920CL  332700,東坡詞Ci Poetry of Su Shi,"陳建男CHEN, CHIEN-NAN",33,4.05,0.49
10920CL  333200,孟子Mencius,"簡良如CHIEN, LIANG-JU",34,3.98,0.43
10920CL  350400,傳習錄Chuanxilu,"鍋島亞朱華NABESHIMA,ASUKA",13,4.02,0.22
10920CL  370500,近現代小說與文化Modern Chinese Novel and Culture,"顏健富GUAN, KEAN-FUNG",29,3.55,0.8
