0,1,2,3,4,5,6,7,8,9,10,11
11110BMES312102,            生醫電子與儀器實驗Biomedical Electronics and Instrumentation Laboratory,2,      R5R6R7R8,      BMES醫環110／容量72,"陳之碩CHEN, CHI-SHUO",25,醫環系大學部3年級優先，第3次選課起開放全校修習,25,       , ,
11110BMES316100,            生物化學一Biochemistry I,3,      T3T4R3,      BMES醫環101／容量56,"邱信程CHIU, HSIN-CHENG", ,(跨領域)生物產業技術學分學程 環境科技學程(第二專長)/生醫工程(第二專長)/生醫工程與環境科學(第一專長)/生命科學(第二專長),37,       , ,
11110BMES318100,            專題研究一Undergraduate Research (I),1,,,指導教授, ,指導教授限醫環系教師 限大學部,15,       , ,
11110BMES323100,            數值方法Numerical Methods,3,      T6T7T8,      BMES醫環101／容量56,"劉耕谷LIU, KENG-KU", ,(跨領域)神經科學學分學程 生醫工程(第二專長)/生醫工程與環境科學(第一專長),12,       , ,
11110BMES327200,            生醫材料Biomedical Materials,3,      W3W4F2,      BMES醫環717／容量40,"胡尚秀HU, SHANG-HSIU",30,(跨領域)醫學科技學分學程 生醫工程(第二專長),19,       , ,
11110BMES332100,            儀器分析Instrumental Analysis,3,      R4F3F4,      BMES醫環618／容量28,"李亦淇LEE, I-CHI", ,生醫工程(第二專長)/生醫工程與環境科學(第一專長),10,       , ,
11110BMES337100,            物理化學一Physical Chemistry (I),3,      M3M4W1W2,      BMES醫環717／容量40,"吳劍侯WU, CHIEN-HOU", ,"本課程上150分鐘,其餘時間由教授彈性運用. 環境科技學程(第二專長)/生醫工程(第二專長)/生醫工程與環境科學(第一專長)",19,       ,   擋修對象 : 醫環系   先修科目 : 普通化學二-成績需D以上上述條件一定要有，則不擋修。,
11110BMES343100,            醫學儀器Medical Instrumentation,3,      W2W3W4,      BMES醫環501／容量45,"彭旭霞PENG, HSU-HSIA", ,生醫工程(第二專長)/生醫工程與環境科學(第一專長)/醫學物理(第二專長),10,       , ,
11110BMES411100,            書報討論Seminar,1,      W6,      BMES醫環110／容量72,"林曉均Lin, Hsiao Chun",26,醫環系大學部4年級優先，第3次選課起開放全校修習,21,       , ,
11110BMES418100,            專題研究三Undergraduate Research (III),1,,,指導教授, ,指導教授限醫環系教師 限大學部,21,       , ,
