0,1,2,3,4,5,6,7,8
11110CHEM461000,書報討論 (有機無機組)Seminar- Organic and Inorganic Chemistry,"胡紀如HWU, JIH-RU",R5R6,無限制,33,無限制,0,
11110CHEM462000,書報討論 (物化分析組）Seminar-Physical and Analytical Chemistry,"鄭博元CHENG, PO-YUAN",R5R6,32,26,6,0,
11110CHEM465000,專題演講一(增開)Colloquium (I),"江昀緯CHIANG, YUN-WEI",W6W7W8,無限制,10,無限制,0,
11110CHEM480000,專題研究一(增開)Undergraduate Research (I),指導教授,S2S3S4,0,0,0,0,
11110CHEM500000,教學實習一(增開)Teaching Internship (I),指導教授, ,無限制,36,無限制,0,
11110CHEM501300,藥物化學Pharmaceutical Chemistry,"謝興邦HSIEH, HSING-PANG",R2R3R4,無限制,13,無限制,0,
11110CHEM508500,雷射光電化學實驗Laser Chemistry Laboratory,"陳益佳CHEN, I-CHIA",F5F6F7F8,無限制,1,無限制,0,
11110CHEM509500,分子光化學Molecular Photochemistry,"陳益佳CHEN, I-CHIA",M3M4W2,無限制,3,無限制,0,
11110CHEM512000,生醫分析(增開)Biomedical Analysis,"陳貴通TAN, KUI THONG",W2F3F4,無限制,14,無限制,0,
11110CHEM527000,有機光譜學Spectroscopic Methods for Organic Analysis,"黃郁文HUANG, YU-WEN",T5F3F4,36,2,34,14,
11110CHEM536500,分離科學Separation Science,"帕偉鄂本URBAN, PAWEL LUKASZ",T3T4W3,無限制,11,無限制,0,
11110CHEM543000,材料化學分析技術Analytical techniques for Materials Chemistry,"楊家銘YANG, CHIA-MIN",R2R3R4,25,4,21,4,
