course_ID_full_orig,current_stage_enrollment
11110FL  300902,33
11110FL  304400,30
11110FL  305900,7
11110FL  308700,20
11110FL  309000,30
11110FL  310000,15
11110FL  310100,30
11110FL  310200,9
11110FL  327100,20
11110FL  327300,30
11110FL  327700,28
11110FL  328001,11
11110FL  328002,42
11110FL  328003,42
11110FL  328004,42
11110FL  328005,42
11110FL  328006,42
11110FL  328007,9
11110FL  328008,6
11110FL  328101,3
11110FL  328102,27
11110FL  341600,8
11110FL  342400,19
11110FL  343100,11
11110FL  343400,17
11110FL  344500,23
11110FL  350100,11
11110FL  402500,11
11110FL  403900,11
11110FL  404400,7
11110FL  404401,22
11110FL  404701,20
11110FL  404702,39
11110FL  404703,41
11110FL  404900,15
11110FL  405100,20
11110FL  405400,10
11110FL  407100,8
11110FL  416500,11
11110FL  420700,11
11110FL  420800,7
11110FL  421100,18
11110FL  421300,12
11110FL  500100,0
11110FL  513700,3
11110FL  520100,0
11110FL  525000,4
11110FL  560100,0
11110FL  571800,5
11110FL  582200,5
11110FL  592200,0
11110FL  600100,4
11110BMES433100,79
11110CL  151000,8
11110CL  280600,14
11110ECON100101,0
11110ECON100102,0
11110ECON100103,0
11110ECON100104,0
11110ECON100105,0
11110ECON100106,0
11110ECON221200,30
11110ECON425100,50
11110FL  344500,23
11110FL  350100,11
11110GE  100800,17
11110GE  101200,60
11110GE  101300,3
11110GE  102200,62
11110GE  103600,70
11110GE  106600,11
11110GE  107200,60
11110GE  107600,20
11110GE  108600,20
11110GE  109601,25
11110GE  109602,25
11110GE  111300,36
11110GE  112800,11
11110GE  113500,17
11110GE  114600,14
11110GE  114800,10
11110GE  115100,60
11110GE  115600,8
11110GE  115800,55
11110GE  116800,6
11110GE  117300,36
11110GE  118300,23
11110GE  118600,60
11110GE  119600,18
11110GE  119800,12
11110GE  120601,20
11110GE  120602,20
11110GE  122100,90
11110GE  122600,24
11110GE  123300,25
11110GE  123600,7
11110GE  124500,90
11110GE  125600,70
11110GE  125700,20
11110GE  126300,29
11110GE  128400,36
11110GE  128601,20
11110GE  128602,20
11110GE  129400,4
11110GE  130300,50
11110GE  130500,50
11110GE  131800,50
11110GE  132300,9
11110GE  132800,55
11110GE  134100,28
11110GE  134500,50
11110GE  134600,60
11110GE  135500,70
11110GE  135600,21
11110GE  136500,85
11110GE  137300,19
11110GE  137500,50
11110GE  137600,34
11110GE  138200,58
11110GE  139400,18
11110GE  140400,60
11110GE  140500,28
11110GE  140601,15
11110GE  140602,15
11110GE  141300,80
11110GE  141800,0
11110GE  143800,42
11110GE  144300,49
11110GE  144400,50
11110GE  144800,20
11110GE  145800,14
11110GE  149300,41
11110GE  150300,100
11110GE  152400,14
11110GE  154200,24
11110GE  154400,66
11110GE  154600,15
11110GE  155300,6
11110GE  155600,30
11110GE  157600,12
11110GE  158400,32
11110GE  158600,14
11110GE  160200,60
11110GE  160300,60
11110GE  160400,59
11110GE  162200,27
11110GE  163700,50
11110GE  168200,60
11110GE  168700,50
11110GE  169600,30
11110GE  170200,38
11110GE  170600,5
11110GE  171400,59
11110GE  172200,70
11110GE  173201,98
11110GE  173202,50
11110GE  174400,19
11110GE  175600,22
11110GE  178200,60
11110GE  180200,50
11110GE  181601,50
11110GE  181602,44
11110GE  182400,27
11110GE  183200,45
11110GE  183400,20
11110GE  185200,60
11110GE  186200,19
11110GE  187200,19
11110GE  189200,90
11110GE  190200,33
11110GE  191200,70
11110GE  193200,46
11110GE  193600,20
11110GE  196200,60
11110GE  199400,50
11110GE  199600,100
11110GEC 110301,79
11110GEC 110302,63
11110GEC 110500,54
11110GEC 110700,54
11110GEC 110800,57
11110GEC 111300,54
11110GEC 111501,45
11110GEC 111502,45
11110GEC 111503,45
11110GEC 112100,54
11110GEC 112300,57
11110GEC 112400,54
11110GEC 120100,54
11110GEC 120200,90
11110GEC 120301,45
11110GEC 120302,45
11110GEC 120303,45
11110GEC 120304,45
11110GEC 120601,45
11110GEC 120602,45
11110GEC 120700,72
11110GEC 130101,45
