course_ID_full_orig,current_enrollment,spots_avl,pending_enrollment
11110GEC 131100,33,17,0
11110GEC 161001,36,4,2
11110GEC 161002,36,4,1
11110GEC 131000,45,5,11
11110GEC 131400,45,5,2
11110GEC 130101,45,5,5
11110GEC 130102,45,5,2
11110GEC 160201,45,5,12
11110GEC 160100,45,5,2
11110GEC 162000,45,5,4
11110GEC 161100,45,5,2
11110GEC 131600,45,5,0
11110GEC 131301,45,5,7
11110GEC 131302,45,5,2
11110GEC 132000,45,5,3
11110GEC 160202,50,5,5
11110GEC 160600,54,6,0
11110GEC 131500,54,6,2
11110GEC 130700,54,6,3
11110GEC 131800,54,6,1
11110ECON100102,0,100,3
11110ECON100104,0,100,7
11110ECON100105,0,60,16
11110ECON100106,0,80,18
11110ECON100101,0,170,11
11110ECON100103,0,100,5
11110GEC 140201,16,34,1
11110GEC 140602,19,31,0
11110ECON221200,30,75,3
11110GEC 140202,31,19,0
11110GEC 140601,35,15,1
11110GEC 140401,45,5,5
11110GEC 140402,45,5,4
11110GEC 140403,45,5,5
